time step, x, y
100, 0.6795361387084949, -0.003954262115419868
200, 1.3699404042559236, -0.009606705323107478
300, 2.0712127966413876, -0.0169573296229224
400, 2.784186947297248, -0.027148526645043358
500, 3.5083379849901677, -0.03706188169786023
600, 4.243357149521348, -0.048673417842839406
700, 4.991529224151554, -0.06031587221704726
800, 5.752854208880081, -0.0719892448206031
900, 6.526344092176677, -0.08353915555395264
1000, 7.31412927720189, -0.09428635308499733
1100, 8.11537613252424, -0.10308844578381082
1200, 8.930918289575393, -0.11108782528057914
1300, 9.761064508553778, -0.11630846851331622
1400, 10.605660409360272, -0.11973838701314476
1500, 11.466002763724237, -0.11955593781762608
1600, 12.341937191546148, -0.11674913245758822
1700, 13.232630061394536, -0.11017557930299282
1800, 14.13906938480038, -0.0999896584531621
1900, 15.060421530332233, -0.08504897827794622
2000, 15.996686497989629, -0.06535353877738626
2100, 16.947864287773257, -0.04090333995147599
2200, 17.91182449652164, -0.012377633132397925
2300, 18.889863895964552, 0.0220452246419911
2400, 19.879852082940992, 0.061685982039664466
2500, 20.881789057451172, 0.1065446390604734
2600, 21.89369879643316, 0.15692995590317516
2700, 22.91527253968858, 0.2108659095061216
2800, 23.94484302435452, 0.2706372831293886
2900, 24.980959098602145, 0.33343442228015885
