time step, x, y
100,0.4230253408455055,0.0038158881849346227
200,0.8400290952586177,0.00849229763011378
300,1.2520341956375844,0.01305269911979302
400,1.6580177095843798,0.018473621869949376
500,2.0589793679056068,0.02477826747165484
600,2.4529197089880648,0.03192023274253812
700,2.8398619344223732,0.0388997868759864
800,3.2208057750157018,0.04574013146297115
900,3.5927288367561503,0.053371392536968695
1000,3.9566540520417313,0.060817040882456576
1100,4.311558488474654,0.0690536057150762
1200,4.6564656168390535,0.07705815463691801
1300,4.9913754371349315,0.08483068764798203
1400,5.315288218555454,0.092348003157191
1500,5.627204230293568,0.0995868995734624
1600,5.928100001565252,0.1075703092947084
1700,6.214999541541202,0.11522889674098385
1800,6.488879379436728,0.12358559430995783
1900,6.748786187627487,0.13061773879701535
2000,6.993673832124381,0.13830159022484947
2100,7.2245652453254365,0.14566061937748315
2200,7.4404606964234805,0.15267162466394482
2300,7.641336983827771,0.16033433689118576
2400,7.8272405107202445,0.16664929444531404
2500,7.9981248739189645,0.17361595894022158
2600,8.155013005821731,0.18025780116003964
2700,8.298904637235482,0.1865980226958482
2800,8.427823508137305,0.1915904895585415
2900,8.543722676959147,0.1972810665441712
3000,9.034312084031033,0.22066981744555086
100,0.4621066000771777,-0.0012207231877578056
200,0.9332495734168332,-0.004270095674644453
300,1.4143907418110084,-0.007129479593100941
400,1.9045492846106924,-0.010817693305168435
500,2.403725201816232,-0.015334736811181443
600,2.911918493427508,-0.02068061011080114
700,3.4281103410821467,-0.02587449255559053
800,3.951319924131826,-0.031935202507805134
900,4.4815472425762035,-0.03886273996756512
1000,5.0177544791961655,-0.04467646478068399
1100,5.557979992694946,-0.05141401367178862
1200,6.103204603720763,-0.05805656827885301
1300,6.651409674406053,-0.06364230680960736
1400,7.201614384102273,-0.06919004762687986
1500,7.753799733952336,-0.07369997122492747
1600,8.306965904451179,-0.07719107646071087
1700,8.861112895598346,-0.0796633633341251
1800,9.416221708537444,-0.0801170123399825
1900,9.972311342125089,-0.07955184298346638
2000,10.528381976855881,-0.07798685412154391
2100,11.085414433378372,-0.0744032273918416
2200,11.644427530054708,-0.06978178344314173
2300,12.205402268028488,-0.06312270276968837
2400,12.769357465661411,-0.055406806020386085
2500,13.33629312295392,-0.04663409319499895
2600,13.90818988005998,-0.035766747074527205
2700,14.486066555341633,-0.023785588307641714
2800,15.069904149942234,-0.009690797388590744
2900,15.661740300586093,0.004555984385288314
3000,22.767823262998277,0.2256033352272475
100,0.3610220071600147,0.0003321840292746618
200,0.7010455263016986,0.00041237410661723416
300,1.0200705574252815,0.0002405702318030896
400,1.320096956532557,-0.00015922817104915138
500,1.6011367233354132,-0.0017869491027812032
600,1.863165858409732,-0.0026427365617137273
700,2.108196217469424,-0.0037025191246807744
800,2.3372277285153293,-0.004954297079680543
900,2.5512723192601765,-0.007385998715552963
1000,2.7513059182810293,-0.008985768318499142
1100,2.9383404532906168,-0.010741534177700024
1200,3.113387852001781,-0.013641224581653164
1300,3.278423970992312,-0.01566098410467289
1400,3.4334608099742137,-0.0178007407479406
1500,3.5794982969484357,-0.020048494798998426
1600,3.717524360203708,-0.021392318545346626
1700,3.84856292716487,-0.02382006827643674
1800,3.97360192612088,-0.026319816279766338
1900,4.091629429358886,-0.027903634265928418
2000,4.2046692923044695,-0.03054737881328357
2100,4.31269751553385,-0.032251193919693645
2200,4.415726098758684,-0.0340150075858894
2300,4.513755041979431,-0.035838819812320094
2400,4.607784273196706,-0.037710630886759314
2500,4.69681386440955,-0.039642440521210215
2600,4.78084381561808,-0.04163424871567142
2700,4.861873982824198,-0.04366205604602295
2800,4.937892510313889,-0.044749933935659486
2900,5.009911325800103,-0.04588581067319087
3000,5.554040154238014,-0.05335695935617045
100.0,0.4451565616600987,-0.0021530468883631804
200.0,0.8933433979078697,-0.00340197214541858
300.0,1.3444651358350284,-0.006745259389481291
400.0,1.7976176538100508,-0.00915263403253088
500.0,2.252737369894897,-0.012623085154000823
600.0,2.7118550641372106,-0.016220700152643555
700.0,3.172939956488673,-0.02088139162945768
800.0,3.6370233324586856,-0.025637456014336316
900.0,4.1031056975072016,-0.030457102337907688
1000.0,4.572154755204688,-0.036371616108901335
1100.0,5.041203812902174,-0.042286129879895
1200.0,5.511284156108262,-0.047232940080870006
1300.0,5.982332202884594,-0.053211035790567296
1400.0,6.4513812605819645,-0.05912554956167096
1500.0,6.919430823739978,-0.06500827236319738
1600.0,7.384481903279887,-0.070795622256901
1700.0,7.8455667956315756,-0.07545631373372239
1800.0,8.300622929777616,-0.0809257539336915
1900.0,8.748714393117107,-0.08517316280894838
2000.0,9.187810405602312,-0.0891344529600552
2100.0,9.616911472693523,-0.09277783341765114
2200.0,10.034018605312133,-0.09603972224303983
2300.0,10.437132814379288,-0.09885653749751758
2400.0,10.824255110816146,-0.10116469724238078
2500.0,11.195385494622938,-0.1029642014776368
2600.0,11.54952447125996,-0.1042232592339246
2700.0,11.883673557109336,-0.10484649760320147
2800.0,12.197832752170848,-0.10483391658534658
2900.0,12.492002056444715,-0.10418551618059436
3000.0,14.425505202152856,-0.08764509489407551
100.0,0.40806452252333375,0.0005877564833166385
200.0,0.8050840871623955,0.001269881019180616
300.0,1.192053777266655,0.0019473325712555944
400.0,1.567978509486439,0.0027191521761266717
500.0,1.9328582838217463,0.0035853398337938884
600.0,2.2877872246587354,0.005441937857469993
700.0,2.6305770832250914,0.006496861620729377
800.0,2.9623219839067234,0.007646153436581259
900.0,3.2829228856672827,0.007894729955442492
1000.0,3.5914837461937164,0.008336715563911246
1100.0,3.8880045654857502,0.008972110261557588
1200.0,4.173381385856486,0.008706789662235814
1300.0,4.445624040606668,0.007738835838878798
